,BHK,Size,Floor,Bathroom,city_status_Bangalore,city_status_Chennai,city_status_Delhi,city_status_Hyderabad,city_status_Kolkata,city_status_Mumbai,Furnishing_status_Furnished,Furnishing_status_Semi-Furnished,Furnishing_status_Unfurnished,Tenant_preferred_Bachelors,Tenant_preferred_Bachelors/Family,Tenant_preferred_Family
56,2,1200,1,1,0,0,0,0,1,0,0,0,1,0,1,0
57,2,1200,2,2,0,0,0,0,1,0,0,1,0,1,0,0
58,2,650,0,2,0,0,0,0,1,0,0,1,0,0,1,0
59,2,720,4,2,0,0,0,0,1,0,0,1,0,0,1,0
60,1,300,1,1,0,0,0,0,1,0,0,0,1,1,0,0
61,3,1200,0,3,0,0,0,0,1,0,0,0,1,0,1,0
62,2,700,7,2,0,0,0,0,1,0,0,0,1,0,1,0
63,3,2000,1,2,0,0,0,0,1,0,0,1,0,0,1,0
64,1,250,0,1,0,0,0,0,1,0,0,1,0,0,1,0
65,2,1100,0,1,0,0,0,0,1,0,0,0,1,1,0,0
66,1,300,0,1,0,0,0,0,1,0,0,0,1,0,1,0
67,2,600,0,1,0,0,0,0,1,0,0,1,0,0,1,0
68,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
69,1,680,1,1,0,0,0,0,1,0,0,0,1,0,1,0
70,1,680,0,1,0,0,0,0,1,0,0,0,1,0,1,0
71,2,850,1,1,0,0,0,0,1,0,0,1,0,1,0,0
72,2,850,1,1,0,0,0,0,1,0,0,1,0,1,0,0
73,2,700,0,1,0,0,0,0,1,0,0,0,1,1,0,0
74,3,1500,0,2,0,0,0,0,1,0,0,0,1,0,1,0
75,2,950,1,2,0,0,0,0,1,0,0,1,0,0,1,0
76,2,500,0,1,0,0,0,0,1,0,0,0,1,0,1,0
77,1,450,2,1,0,0,0,0,1,0,0,1,0,0,1,0
78,2,700,0,1,0,0,0,0,1,0,0,0,1,1,0,0
79,1,500,1,1,0,0,0,0,1,0,0,0,1,0,1,0
80,3,1800,0,2,0,0,0,0,1,0,0,1,0,0,1,0
81,1,500,1,1,0,0,0,0,1,0,0,1,0,0,1,0
82,2,480,0,2,0,0,0,0,1,0,1,0,0,0,1,0
83,6,1000,1,2,0,0,0,0,1,0,0,1,0,0,1,0
84,2,800,1,1,0,0,0,0,1,0,1,0,0,0,1,0
85,1,435,2,1,0,0,0,0,1,0,0,0,1,0,1,0
86,2,700,0,2,0,0,0,0,1,0,0,1,0,0,1,0
87,2,800,4,1,0,0,0,0,1,0,1,0,0,0,1,0
88,2,450,1,1,0,0,0,0,1,0,0,0,1,0,1,0
89,2,550,2,1,0,0,0,0,1,0,0,1,0,0,1,0
90,2,800,0,2,0,0,0,0,1,0,0,0,1,1,0,0
91,2,550,0,2,0,0,0,0,1,0,0,1,0,0,0,1
92,1,600,2,1,0,0,0,0,1,0,1,0,0,0,1,0
93,1,500,0,1,0,0,0,0,1,0,0,0,1,0,1,0
94,2,1000,1,2,0,0,0,0,1,0,1,0,0,0,1,0
95,1,300,1,1,0,0,0,0,1,0,0,0,1,0,1,0
96,2,1200,1,2,0,0,0,0,1,0,1,0,0,0,1,0
97,2,500,3,1,0,0,0,0,1,0,0,1,0,0,1,0
98,4,1200,1,2,0,0,0,0,1,0,0,0,1,0,0,1
99,2,900,1,2,0,0,0,0,1,0,0,1,0,0,1,0
100,3,1300,0,3,0,0,0,0,1,0,0,0,1,0,1,0
101,4,1600,1,3,0,0,0,0,1,0,0,0,1,0,1,0
102,3,1450,0,2,0,0,0,0,1,0,0,0,1,0,0,1
103,2,1100,2,2,0,0,0,0,1,0,1,0,0,1,0,0
104,2,950,0,2,0,0,0,0,1,0,0,0,1,0,1,0
105,1,600,8,1,0,0,0,0,1,0,0,0,1,0,1,0
106,2,700,0,2,0,0,0,0,1,0,0,0,1,0,1,0
107,3,750,0,1,0,0,0,0,1,0,0,0,1,0,0,1
108,2,1000,0,1,0,0,0,0,1,0,0,0,1,0,1,0
109,1,220,0,1,0,0,0,0,1,0,1,0,0,0,1,0
110,1,300,1,1,0,0,0,0,1,0,0,1,0,1,0,0
111,1,300,0,1,0,0,0,0,1,0,0,0,1,0,1,0
112,1,700,1,1,0,0,0,0,1,0,0,1,0,0,1,0
113,3,800,0,2,0,0,0,0,1,0,0,0,1,0,1,0
114,3,1600,1,2,0,0,0,0,1,0,0,0,1,0,1,0
115,2,1000,1,2,0,0,0,0,1,0,0,0,1,0,1,0
116,1,20,2,1,0,0,0,0,1,0,0,0,1,0,1,0
117,2,400,0,1,0,0,0,0,1,0,0,0,1,0,1,0
118,1,200,2,1,0,0,0,0,1,0,1,0,0,0,1,0
119,3,840,1,2,0,0,0,0,1,0,0,0,1,1,0,0
120,1,300,1,1,0,0,0,0,1,0,0,0,1,0,1,0
121,2,550,1,2,0,0,0,0,1,0,1,0,0,0,1,0
122,1,300,1,1,0,0,0,0,1,0,0,0,1,0,1,0
123,2,800,1,2,0,0,0,0,1,0,0,0,1,0,1,0
124,2,740,0,1,0,0,0,0,1,0,0,0,1,1,0,0
125,2,1300,1,2,0,0,0,0,1,0,0,0,1,0,1,0
126,2,650,0,1,0,0,0,0,1,0,0,1,0,0,1,0
127,2,490,1,1,0,0,0,0,1,0,0,1,0,0,1,0
128,1,250,2,1,0,0,0,0,1,0,1,0,0,0,1,0
129,1,250,0,1,0,0,0,0,1,0,1,0,0,0,1,0
130,1,450,1,1,0,0,0,0,1,0,0,0,1,0,1,0
131,1,300,0,1,0,0,0,0,1,0,0,1,0,0,1,0
132,2,750,1,2,0,0,0,0,1,0,0,0,1,0,1,0
133,1,250,1,1,0,0,0,0,1,0,1,0,0,0,1,0
134,2,751,3,1,0,0,0,0,1,0,0,0,1,1,0,0
135,2,900,0,1,0,0,0,0,1,0,0,1,0,1,0,0
136,2,400,1,1,0,0,0,0,1,0,0,1,0,0,1,0
137,2,1000,0,2,0,0,0,0,1,0,0,1,0,0,1,0
138,2,1000,0,1,0,0,0,0,1,0,0,0,1,0,1,0
139,3,1500,1,2,0,0,0,0,1,0,0,1,0,0,0,1
140,2,750,1,2,0,0,0,0,1,0,0,0,1,0,1,0
141,1,1200,2,1,0,0,0,0,1,0,0,1,0,0,1,0
142,2,700,0,1,0,0,0,0,1,0,0,0,1,0,1,0
143,2,700,4,1,0,0,0,0,1,0,1,0,0,0,1,0
144,2,1000,0,1,0,0,0,0,1,0,0,1,0,0,1,0
145,2,1200,1,2,0,0,0,0,1,0,0,0,1,0,1,0
146,2,550,2,1,0,0,0,0,1,0,1,0,0,0,1,0
147,2,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
148,2,280,1,1,0,0,0,0,1,0,0,0,1,1,0,0
149,3,1100,0,3,0,0,0,0,1,0,0,0,1,0,1,0
150,2,950,0,1,0,0,0,0,1,0,0,0,1,0,1,0
151,1,250,1,1,0,0,0,0,1,0,1,0,0,0,1,0
152,2,1000,0,1,0,0,0,0,1,0,0,0,1,1,0,0
153,3,1000,0,2,0,0,0,0,1,0,0,1,0,0,1,0
154,2,650,0,1,0,0,0,0,1,0,0,0,1,0,1,0
155,2,700,1,2,0,0,0,0,1,0,0,0,1,0,1,0
156,2,700,0,1,0,0,0,0,1,0,0,0,1,1,0,0
157,3,1000,0,2,0,0,0,0,1,0,0,1,0,0,1,0
158,2,900,1,2,0,0,0,0,1,0,0,0,1,1,0,0
159,1,700,1,1,0,0,0,0,1,0,0,0,1,0,1,0
160,2,700,1,2,0,0,0,0,1,0,0,0,1,0,1,0
161,2,450,2,2,0,0,0,0,1,0,0,1,0,0,1,0
162,1,120,0,1,0,0,0,0,1,0,0,0,1,0,1,0
163,2,800,1,2,0,0,0,0,1,0,0,1,0,0,1,0
164,3,1220,2,2,0,0,0,0,1,0,0,0,1,0,1,0
165,3,1100,0,1,0,0,0,0,1,0,0,0,1,0,1,0
166,3,700,0,2,0,0,0,0,1,0,0,0,1,0,0,1
167,2,800,0,1,0,0,0,0,1,0,1,0,0,0,1,0
168,2,670,2,1,0,0,0,0,1,0,0,0,1,0,0,1
169,4,1300,1,3,0,0,0,0,1,0,0,0,1,0,1,0
170,1,190,0,1,0,0,0,0,1,0,0,1,0,0,1,0
171,2,700,0,1,0,0,0,0,1,0,0,1,0,0,1,0
172,1,240,0,1,0,0,0,0,1,0,0,0,1,1,0,0
173,2,850,2,1,0,0,0,0,1,0,0,1,0,0,0,1
174,1,950,1,2,0,0,0,0,1,0,0,0,1,0,1,0
175,1,450,1,1,0,0,0,0,1,0,1,0,0,0,1,0
176,2,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
177,2,600,1,1,0,0,0,0,1,0,0,0,1,0,1,0
178,3,800,2,2,0,0,0,0,1,0,0,0,1,1,0,0
179,3,1100,0,2,0,0,0,0,1,0,0,0,1,0,1,0
180,2,800,0,1,0,0,0,0,1,0,1,0,0,0,1,0
181,1,2200,2,3,0,0,0,0,1,0,1,0,0,0,1,0
182,2,950,1,2,0,0,0,0,1,0,0,0,1,1,0,0
183,2,550,2,1,0,0,0,0,1,0,0,0,1,0,1,0
184,2,1800,1,2,0,0,0,0,1,0,0,0,1,1,0,0
185,2,1000,0,1,0,0,0,0,1,0,1,0,0,0,1,0
186,2,600,0,2,0,0,0,0,1,0,0,1,0,0,1,0
187,2,750,2,2,0,0,0,0,1,0,0,1,0,0,1,0
188,2,685,2,1,0,0,0,0,1,0,0,0,1,0,1,0
189,1,44,0,1,0,0,0,0,1,0,1,0,0,0,1,0
190,4,1200,0,1,0,0,0,0,1,0,0,0,1,0,1,0
191,2,500,0,1,0,0,0,0,1,0,0,0,1,1,0,0
192,4,1110,2,2,0,0,0,0,1,0,0,0,1,0,1,0
193,2,1000,1,2,0,0,0,0,1,0,0,0,1,0,1,0
194,2,392,0,1,0,0,0,0,1,0,0,0,1,0,1,0
195,2,700,1,1,0,0,0,0,1,0,0,0,1,0,1,0
196,1,750,2,1,0,0,0,0,1,0,0,0,1,0,1,0
197,3,1500,1,2,0,0,0,0,1,0,0,0,1,0,0,1
198,2,900,0,2,0,0,0,0,1,0,0,0,1,0,1,0
199,1,710,1,1,0,0,0,0,1,0,1,0,0,1,0,0
200,1,400,0,1,0,0,0,0,1,0,0,0,1,0,1,0
201,1,700,1,1,0,0,0,0,1,0,0,0,1,1,0,0
202,2,1000,0,1,0,0,0,0,1,0,0,1,0,0,1,0
203,1,250,1,1,0,0,0,0,1,0,1,0,0,0,1,0
204,1,500,0,1,0,0,0,0,1,0,0,1,0,0,1,0
205,2,450,2,1,0,0,0,0,1,0,0,1,0,0,1,0
206,3,1400,1,1,0,0,0,0,1,0,0,0,1,0,1,0
207,1,500,1,1,0,0,0,0,1,0,0,1,0,0,1,0
208,2,700,0,1,0,0,0,0,1,0,0,0,1,0,1,0
209,3,1200,1,1,0,0,0,0,1,0,0,1,0,0,1,0
210,2,450,1,1,0,0,0,0,1,0,0,0,1,1,0,0
211,1,500,2,1,0,0,0,0,1,0,1,0,0,1,0,0
212,2,400,0,1,0,0,0,0,1,0,0,0,1,0,1,0
213,3,1000,0,2,0,0,0,0,1,0,0,0,1,0,1,0
214,2,750,0,1,0,0,0,0,1,0,0,0,1,1,0,0
215,1,450,0,1,0,0,0,0,1,0,0,0,1,0,0,1
216,3,1000,1,2,0,0,0,0,1,0,0,0,1,1,0,0
217,2,500,1,2,0,0,0,0,1,0,0,0,1,1,0,0
218,4,1600,0,2,0,0,0,0,1,0,0,0,1,1,0,0
219,2,550,0,1,0,0,0,0,1,0,0,0,1,1,0,0
220,1,550,1,2,0,0,0,0,1,0,0,0,1,0,1,0
221,1,200,2,1,0,0,0,0,1,0,0,0,1,0,1,0
222,2,650,1,1,0,0,0,0,1,0,0,0,1,1,0,0
223,2,1000,1,2,0,0,0,0,1,0,1,0,0,0,1,0
224,2,680,0,2,0,0,0,0,1,0,0,0,1,0,1,0
225,2,720,0,2,0,0,0,0,1,0,0,0,1,0,1,0
226,2,500,4,1,0,0,0,0,1,0,0,0,1,1,0,0
227,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
228,1,160,0,1,0,0,0,0,1,0,0,0,1,0,1,0
229,2,1200,1,2,0,0,0,0,1,0,0,0,1,0,1,0
230,1,700,0,1,0,0,0,0,1,0,1,0,0,0,1,0
231,1,1000,0,1,0,0,0,0,1,0,0,1,0,0,1,0
232,2,1250,0,2,0,0,0,0,1,0,0,0,1,0,1,0
233,4,1600,0,3,0,0,0,0,1,0,0,0,1,0,1,0
234,2,700,0,1,0,0,0,0,1,0,0,1,0,0,1,0
235,1,450,0,1,0,0,0,0,1,0,0,0,1,0,1,0
236,2,839,1,2,0,0,0,0,1,0,0,1,0,0,1,0
237,1,230,0,1,0,0,0,0,1,0,0,0,1,0,1,0
238,1,1800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
239,2,800,1,2,0,0,0,0,1,0,0,0,1,0,1,0
240,1,500,0,1,0,0,0,0,1,0,0,1,0,0,1,0
241,2,620,0,1,0,0,0,0,1,0,0,0,1,1,0,0
242,2,650,2,1,0,0,0,0,1,0,0,0,1,0,1,0
243,1,550,1,1,0,0,0,0,1,0,0,1,0,0,1,0
244,2,450,1,2,0,0,0,0,1,0,1,0,0,1,0,0
245,3,1350,1,2,0,0,0,0,1,0,0,0,1,0,0,1
246,2,600,2,2,0,0,0,0,1,0,0,1,0,0,1,0
247,3,1200,2,1,0,0,0,0,1,0,1,0,0,0,1,0
248,2,700,1,1,0,0,0,0,1,0,0,0,1,0,1,0
249,3,800,1,2,0,0,0,0,1,0,1,0,0,0,1,0
250,2,600,0,1,0,0,0,0,1,0,0,1,0,0,1,0
251,2,900,1,2,0,0,0,0,1,0,0,0,1,0,1,0
252,2,750,0,1,0,0,0,0,1,0,0,0,1,0,1,0
253,3,1250,1,2,0,0,0,0,1,0,0,0,1,0,1,0
254,3,1000,2,3,0,0,0,0,1,0,0,1,0,0,1,0
255,2,600,0,1,0,0,0,0,1,0,0,1,0,0,1,0
256,2,650,1,1,0,0,0,0,1,0,0,0,1,0,1,0
257,2,450,2,1,0,0,0,0,1,0,0,0,1,1,0,0
258,3,800,0,2,0,0,0,0,1,0,0,0,1,0,1,0
259,3,1000,0,2,0,0,0,0,1,0,0,1,0,0,1,0
260,2,1000,0,1,0,0,0,0,1,0,0,0,1,0,1,0
261,3,1400,5,3,0,0,0,0,1,0,1,0,0,1,0,0
262,2,600,1,1,0,0,0,0,1,0,0,1,0,1,0,0
263,2,723,0,1,0,0,0,0,1,0,1,0,0,0,0,1
264,1,320,0,1,0,0,0,0,1,0,0,0,1,0,1,0
265,2,900,0,1,0,0,0,0,1,0,0,1,0,0,1,0
266,3,1400,0,2,0,0,0,0,1,0,1,0,0,0,1,0
267,1,2160,1,1,0,0,0,0,1,0,0,1,0,1,0,0
268,2,650,0,1,0,0,0,0,1,0,0,1,0,0,1,0
269,2,800,1,1,0,0,0,0,1,0,0,1,0,0,1,0
270,3,800,2,1,0,0,0,0,1,0,0,1,0,0,1,0
271,1,500,0,1,0,0,0,0,1,0,0,0,1,0,1,0
272,3,1700,1,2,0,0,0,0,1,0,0,1,0,0,1,0
273,1,130,0,1,0,0,0,0,1,0,0,1,0,0,1,0
274,1,505,0,1,0,0,0,0,1,0,1,0,0,0,1,0
275,4,4000,0,3,0,0,0,0,1,0,1,0,0,0,1,0
276,3,1250,0,2,0,0,0,0,1,0,0,0,1,0,1,0
277,1,700,0,1,0,0,0,0,1,0,0,0,1,0,1,0
278,2,900,0,1,0,0,0,0,1,0,0,0,1,1,0,0
279,1,650,1,1,0,0,0,0,1,0,0,1,0,0,1,0
280,2,750,0,1,0,0,0,0,1,0,1,0,0,0,1,0
281,2,450,0,1,0,0,0,0,1,0,0,0,1,0,1,0
282,1,350,1,1,0,0,0,0,1,0,0,1,0,0,1,0
283,1,480,1,2,0,0,0,0,1,0,1,0,0,1,0,0
284,2,900,0,1,0,0,0,0,1,0,0,0,1,0,1,0
285,1,200,0,1,0,0,0,0,1,0,0,1,0,0,1,0
286,3,1100,2,3,0,0,0,0,1,0,0,0,1,0,1,0
287,2,800,1,1,0,0,0,0,1,0,0,0,1,0,1,0
288,3,1000,0,2,0,0,0,0,1,0,1,0,0,0,1,0
289,1,800,1,1,0,0,0,0,1,0,0,0,1,0,1,0
290,1,200,101,1,0,0,0,0,1,0,0,1,0,0,1,0
291,3,1190,1,2,0,0,0,0,1,0,0,0,1,0,1,0
292,2,900,0,2,0,0,0,0,1,0,0,0,1,1,0,0
293,2,1500,0,2,0,0,0,0,1,0,0,0,1,0,1,0
294,2,600,2,1,0,0,0,0,1,0,0,0,1,0,1,0
295,3,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
296,2,800,1,2,0,0,0,0,1,0,0,0,1,0,0,1
297,3,900,0,2,0,0,0,0,1,0,0,1,0,0,1,0
298,1,350,0,1,0,0,0,0,1,0,0,1,0,0,1,0
299,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
300,2,1600,0,2,0,0,0,0,1,0,0,0,1,1,0,0
301,3,1012,2,2,0,0,0,0,1,0,0,1,0,0,1,0
302,3,1200,0,2,0,0,0,0,1,0,0,0,1,1,0,0
303,2,700,1,1,0,0,0,0,1,0,1,0,0,0,1,0
304,2,1000,1,1,0,0,0,0,1,0,0,1,0,0,1,0
305,2,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
306,1,500,0,1,0,0,0,0,1,0,0,1,0,0,1,0
307,3,1200,0,2,0,0,0,0,1,0,0,1,0,1,0,0
308,1,450,0,1,0,0,0,0,1,0,0,0,1,1,0,0
309,3,950,0,2,0,0,0,0,1,0,0,0,1,0,1,0
310,1,350,0,1,0,0,0,0,1,0,0,0,1,0,1,0
311,1,450,0,1,0,0,0,0,1,0,0,0,1,0,1,0
312,1,550,0,1,0,0,0,0,1,0,0,1,0,1,0,0
313,2,300,0,1,0,0,0,0,1,0,0,0,1,1,0,0
314,3,1250,0,2,0,0,0,0,1,0,0,1,0,0,1,0
315,2,700,2,1,0,0,0,0,1,0,0,0,1,0,1,0
316,3,812,0,2,0,0,0,0,1,0,0,0,1,0,1,0
317,2,550,0,1,0,0,0,0,1,0,0,0,1,0,1,0
318,1,500,0,1,0,0,0,0,1,0,0,1,0,0,1,0
319,1,320,1,1,0,0,0,0,1,0,1,0,0,1,0,0
320,2,600,0,1,0,0,0,0,1,0,0,0,1,0,1,0
321,2,420,0,1,0,0,0,0,1,0,0,0,1,1,0,0
322,3,1100,0,1,0,0,0,0,1,0,0,0,1,1,0,0
323,1,220,3,1,0,0,0,0,1,0,0,0,1,0,1,0
324,2,700,0,2,0,0,0,0,1,0,0,1,0,0,1,0
325,3,1200,0,2,0,0,0,0,1,0,0,0,1,0,1,0
326,2,800,0,2,0,0,0,0,1,0,0,0,1,0,1,0
327,1,300,0,1,0,0,0,0,1,0,1,0,0,1,0,0
328,2,650,0,1,0,0,0,0,1,0,0,0,1,0,1,0
329,1,600,1,1,0,0,0,0,1,0,1,0,0,0,1,0
330,1,350,0,1,0,0,0,0,1,0,0,0,1,0,1,0
331,1,500,1,1,0,0,0,0,1,0,0,0,1,1,0,0
332,1,400,1,1,0,0,0,0,1,0,0,0,1,0,1,0
333,3,1750,0,3,0,0,0,0,1,0,0,1,0,0,1,0
334,3,1600,3,2,0,0,0,0,1,0,0,0,1,0,1,0
335,1,300,0,1,0,0,0,0,1,0,0,1,0,0,1,0
336,2,1100,1,2,0,0,0,0,1,0,0,1,0,0,1,0
337,2,830,0,1,0,0,0,0,1,0,0,0,1,0,1,0
338,2,600,0,2,0,0,0,0,1,0,0,1,0,0,1,0
339,1,500,1,2,0,0,0,0,1,0,0,0,1,1,0,0
340,2,900,1,1,0,0,0,0,1,0,0,0,1,0,1,0
341,2,1250,0,2,0,0,0,0,1,0,0,0,1,0,0,1
342,2,700,0,1,0,0,0,0,1,0,0,0,1,1,0,0
343,1,850,0,2,0,0,0,0,1,0,0,0,1,1,0,0
344,2,550,0,1,0,0,0,0,1,0,0,0,1,0,1,0
345,2,550,0,2,0,0,0,0,1,0,1,0,0,0,1,0
346,2,1200,0,1,0,0,0,0,1,0,0,0,1,0,1,0
347,3,1100,0,2,0,0,0,0,1,0,0,0,1,1,0,0
348,2,650,0,1,0,0,0,0,1,0,0,1,0,0,1,0
349,3,1050,0,2,0,0,0,0,1,0,0,0,1,1,0,0
350,2,960,0,2,0,0,0,0,1,0,0,1,0,0,1,0
351,2,650,1,2,0,0,0,0,1,0,0,0,1,0,1,0
352,1,550,0,1,0,0,0,0,1,0,0,1,0,0,1,0
353,2,500,0,2,0,0,0,0,1,0,0,1,0,0,1,0
354,1,450,3,1,0,0,0,0,1,0,0,0,1,0,0,1
355,2,850,1,2,0,0,0,0,1,0,0,0,1,1,0,0
356,1,300,0,1,0,0,0,0,1,0,0,0,1,0,1,0
357,2,1000,1,3,0,0,0,0,1,0,0,1,0,0,1,0
358,2,500,1,1,0,0,0,0,1,0,0,0,1,0,1,0
359,2,756,0,1,0,0,0,0,1,0,0,1,0,0,1,0
360,1,1000,2,1,0,0,0,0,1,0,0,0,1,0,1,0
361,1,150,1,1,0,0,0,0,1,0,0,0,1,0,1,0
362,1,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
363,2,700,2,2,0,0,0,0,1,0,0,0,1,1,0,0
364,1,420,3,1,0,0,0,0,1,0,0,0,1,1,0,0
365,2,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
366,2,288,2,1,0,0,0,0,1,0,0,0,1,1,0,0
367,2,900,0,2,0,0,0,0,1,0,0,0,1,0,1,0
368,2,850,1,2,0,0,0,0,1,0,0,0,1,1,0,0
369,1,350,1,1,0,0,0,0,1,0,0,0,1,1,0,0
370,2,600,0,1,0,0,0,0,1,0,0,0,1,0,1,0
371,2,1600,0,1,0,0,0,0,1,0,0,1,0,1,0,0
372,2,986,2,1,0,0,0,0,1,0,0,0,1,1,0,0
373,3,1330,1,2,0,0,0,0,1,0,0,0,1,1,0,0
374,3,1300,0,2,0,0,0,0,1,0,0,1,0,0,1,0
375,2,800,0,1,0,0,0,0,1,0,0,0,1,1,0,0
376,2,800,1,1,0,0,0,0,1,0,0,0,1,0,1,0
377,2,850,0,1,0,0,0,0,1,0,0,0,1,1,0,0
378,1,322,1,1,0,0,0,0,1,0,0,0,1,0,1,0
379,2,800,0,1,0,0,0,0,1,0,1,0,0,0,1,0
380,4,1500,0,2,0,0,0,0,1,0,0,0,1,1,0,0
381,3,3500,1,2,0,0,0,0,1,0,0,1,0,0,1,0
382,2,957,1,2,0,0,0,0,1,0,1,0,0,1,0,0
383,1,850,1,1,0,0,0,0,1,0,0,0,1,1,0,0
384,2,900,0,2,0,0,0,0,1,0,0,0,1,1,0,0
385,2,600,0,1,0,0,0,0,1,0,0,1,0,0,1,0
386,1,350,0,1,0,0,0,0,1,0,0,1,0,0,1,0
387,2,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
388,2,320,1,1,0,0,0,0,1,0,0,0,1,0,1,0
389,3,800,0,1,0,0,0,0,1,0,0,0,1,0,1,0
390,2,700,1,2,0,0,0,0,1,0,0,1,0,1,0,0
391,2,1200,1,2,0,0,0,0,1,0,0,1,0,0,1,0
392,2,750,1,1,0,0,0,0,1,0,0,1,0,0,1,0
393,3,1200,0,3,0,0,0,0,1,0,0,1,0,0,1,0
394,2,450,0,1,0,0,0,0,1,0,0,0,1,0,1,0
395,3,1430,0,1,0,0,0,0,1,0,0,1,0,0,1,0
396,2,450,1,1,0,0,0,0,1,0,0,0,1,0,1,0
397,4,800,0,3,0,0,0,0,1,0,0,1,0,0,1,0
